condition,cutoff,percent_correct_list,percent_correct_mean,percent_correct_sem,tag_model
Low-pass,16000.0,"[100.0, 100.0, 100.0, 100.0, 98.28571428571429, 89.42857142857143, 94.0, 99.85714285714286, 100.0, 70.28571428571429]",95.18571428571428,2.984924327789631,models/sound_localization/IHC3000/arch??
High-pass,3800.0,"[85.28571428571429, 91.42857142857143, 88.85714285714286, 74.85714285714286, 97.71428571428571, 90.28571428571429, 79.42857142857143, 95.0, 85.71428571428571, 46.285714285714285]",83.4857142857143,4.662106615601802,models/sound_localization/IHC3000_delayed_integration/arch??
High-pass,5800.0,"[84.28571428571429, 81.57142857142857, 91.14285714285714, 86.14285714285714, 100.0, 86.0, 78.71428571428571, 98.42857142857143, 89.71428571428571, 52.142857142857146]",84.81428571428572,4.214543979172711,models/sound_localization/IHC3000_delayed_integration/arch??
High-pass,7500.0,"[70.14285714285714, 88.85714285714286, 77.28571428571429, 78.85714285714286, 99.14285714285714, 85.71428571428571, 74.42857142857143, 91.14285714285714, 80.28571428571429, 43.42857142857143]",78.92857142857143,4.789645388527819,models/sound_localization/IHC3000_delayed_integration/arch??
High-pass,10000.0,"[20.428571428571427, 14.285714285714286, 14.0, 14.285714285714286, 15.857142857142858, 14.285714285714286, 14.142857142857142, 16.714285714285715, 12.714285714285714, 13.428571428571429]",15.014285714285714,0.7000000000000001,models/sound_localization/IHC3000_delayed_integration/arch??
High-pass,13200.0,"[7.142857142857143, 13.142857142857142, 7.142857142857143, 13.142857142857142, 8.0, 7.142857142857143, 13.571428571428571, 7.142857142857143, 10.285714285714286, 7.142857142857143]",9.385714285714286,0.9045237781872415,models/sound_localization/IHC3000_delayed_integration/arch??
High-pass,15300.0,"[7.142857142857143, 7.142857142857143, 7.142857142857143, 7.428571428571429, 6.857142857142857, 7.142857142857143, 6.857142857142857, 7.142857142857143, 7.571428571428571, 7.0]",7.142857142857143,0.07063046178186352,models/sound_localization/IHC3000_delayed_integration/arch??
Low-pass,3900.0,"[21.285714285714285, 19.571428571428573, 24.428571428571427, 17.285714285714285, 15.285714285714286, 23.714285714285715, 23.714285714285715, 25.428571428571427, 18.571428571428573, 12.0]",20.128571428571426,1.3903538758987788,models/sound_localization/IHC3000_delayed_integration/arch??
Low-pass,6000.0,"[25.714285714285715, 47.0, 43.142857142857146, 26.285714285714285, 44.714285714285715, 36.857142857142854, 18.285714285714285, 34.42857142857143, 60.57142857142857, 13.428571428571429]",35.042857142857144,4.557272227849698,models/sound_localization/IHC3000_delayed_integration/arch??
Low-pass,8000.0,"[23.142857142857142, 24.571428571428573, 26.428571428571427, 28.428571428571427, 48.0, 31.571428571428573, 25.571428571428573, 27.0, 52.57142857142857, 13.714285714285714]",30.1,3.6838835123312874,models/sound_localization/IHC3000_delayed_integration/arch??
Low-pass,10300.0,"[27.571428571428573, 36.857142857142854, 25.0, 21.0, 42.142857142857146, 34.285714285714285, 27.142857142857142, 35.57142857142857, 48.285714285714285, 20.571428571428573]",31.842857142857145,2.8929854958787953,models/sound_localization/IHC3000_delayed_integration/arch??
