condition,cutoff,percent_correct_list,percent_correct_mean,percent_correct_sem,tag_model
Low-pass,14500.0,"[58.857142857142854, 65.85714285714286, 65.57142857142857, 63.714285714285715, 63.57142857142857, 74.71428571428571, 56.857142857142854, 62.0, 71.57142857142857, 44.0]",62.671428571428564,2.6710890200979787,models/sound_localization/simplified_IHC3000/arch??
Low-pass,16000.0,"[95.42857142857143, 96.28571428571429, 94.85714285714286, 99.28571428571429, 91.85714285714286, 94.85714285714286, 90.42857142857143, 91.14285714285714, 99.57142857142857, 59.0]",91.27142857142857,3.717486410926004,models/sound_localization/simplified_IHC3000/arch??
High-pass,3800.0,"[72.71428571428571, 84.57142857142857, 98.71428571428571, 90.14285714285714, 95.0, 81.85714285714286, 64.28571428571429, 93.85714285714286, 95.57142857142857, 28.857142857142858]",80.55714285714285,6.707745886308116,models/sound_localization/simplified_IHC3000_delayed_integration/arch??
High-pass,5800.0,"[83.57142857142857, 87.28571428571429, 95.14285714285714, 91.28571428571429, 92.71428571428571, 74.71428571428571, 51.0, 89.0, 85.28571428571429, 24.285714285714285]",77.42857142857143,7.149203529842406,models/sound_localization/simplified_IHC3000_delayed_integration/arch??
High-pass,7500.0,"[76.42857142857143, 84.0, 87.0, 89.42857142857143, 86.14285714285714, 73.28571428571429, 79.14285714285714, 96.57142857142857, 87.14285714285714, 29.285714285714285]",78.84285714285714,5.901398811850283,models/sound_localization/simplified_IHC3000_delayed_integration/arch??
High-pass,10000.0,"[17.285714285714285, 10.857142857142858, 20.285714285714285, 18.571428571428573, 11.428571428571429, 25.857142857142858, 19.0, 18.285714285714285, 7.857142857142857, 14.428571428571429]",16.385714285714286,1.6754936322065284,models/sound_localization/simplified_IHC3000_delayed_integration/arch??
High-pass,13200.0,"[7.142857142857143, 12.142857142857142, 7.142857142857143, 7.142857142857143, 7.142857142857143, 7.142857142857143, 7.142857142857143, 7.142857142857143, 7.142857142857143, 11.285714285714286]",8.057142857142857,0.6128628778360447,models/sound_localization/simplified_IHC3000_delayed_integration/arch??
High-pass,15300.0,"[7.142857142857143, 8.0, 7.0, 7.142857142857143, 7.571428571428571, 7.142857142857143, 7.285714285714286, 7.714285714285714, 7.142857142857143, 6.714285714285714]",7.2857142857142865,0.1185704723617974,models/sound_localization/simplified_IHC3000_delayed_integration/arch??
Low-pass,3900.0,"[14.571428571428571, 17.571428571428573, 13.714285714285714, 13.0, 10.0, 17.0, 11.571428571428571, 12.142857142857142, 17.714285714285715, 9.285714285714286]",13.657142857142858,0.9623761221339165,models/sound_localization/simplified_IHC3000_delayed_integration/arch??
Low-pass,6000.0,"[30.142857142857142, 26.714285714285715, 30.571428571428573, 19.428571428571427, 32.857142857142854, 23.857142857142858, 17.142857142857142, 35.0, 32.57142857142857, 11.0]",25.928571428571427,2.49655090873575,models/sound_localization/simplified_IHC3000_delayed_integration/arch??
Low-pass,8000.0,"[25.0, 35.285714285714285, 28.428571428571427, 22.0, 29.142857142857142, 19.857142857142858, 4.428571428571429, 27.857142857142858, 24.142857142857142, 8.0]",22.414285714285715,3.0265229670103726,models/sound_localization/simplified_IHC3000_delayed_integration/arch??
Low-pass,10300.0,"[24.285714285714285, 19.428571428571427, 26.428571428571427, 21.0, 23.0, 27.142857142857142, 16.857142857142858, 31.0, 52.0, 17.285714285714285]",25.842857142857145,3.2350440807014715,models/sound_localization/simplified_IHC3000_delayed_integration/arch??
Low-pass,12000.0,"[38.857142857142854, 56.57142857142857, 57.142857142857146, 63.857142857142854, 52.285714285714285, 58.857142857142854, 42.857142857142854, 62.714285714285715, 67.28571428571429, 17.857142857142858]",51.82857142857142,4.720236744129994,models/sound_localization/simplified_IHC3000_delayed_integration/arch??
Low-pass,14500.0,"[53.857142857142854, 63.857142857142854, 68.71428571428571, 66.42857142857143, 71.42857142857143, 70.71428571428571, 46.0, 71.71428571428571, 84.42857142857143, 15.714285714285714]",61.28571428571429,6.046081544340625,models/sound_localization/simplified_IHC3000_delayed_integration/arch??
Low-pass,16000.0,"[87.42857142857143, 91.85714285714286, 99.71428571428571, 92.71428571428571, 99.57142857142857, 95.85714285714286, 72.42857142857143, 98.71428571428571, 99.28571428571429, 37.57142857142857]",87.5142857142857,6.142384625606646,models/sound_localization/simplified_IHC3000_delayed_integration/arch??
